CAT_visible_generado,Indice_registry,Codigo_tecnico,Nombre_visible,Owner_system,Gestionable_ODISEO,Total_valores,Catego_valores,Fuente_linea_registry
CAT-059,58,lamina_type,Tipo de Lámina,ODISEO,Sí,3,Formato,559
CAT-060,59,control_wicket_location,Ubicación Wicket Control,ODISEO,Sí,2,Dimensión,568
CAT-061,60,precut_wicket_length,Precorte Wicket Largo,ODISEO,Sí,5,Dimensión,577
CAT-062,61,margin_distance,Distancia Margen Precorte,ODISEO,Sí,4,Dimensión,586
CAT-063,62,client,Cliente,SISTEMA_INTEGRAL,No,0,Maestro_SI,595
CAT-064,63,executive,Ejecutivo Comercial,SISTEMA_INTEGRAL,No,0,Maestro_SI,604
CAT-065,64,unit_measure,Unidad de Medida,ODISEO,Sí,13,Medida,613
CAT-066,65,modification_new,Modificación Producto Nuevo,ODISEO,Sí,6,Modificación,622
CAT-067,66,modification_modified,Modificación Producto Modificado,ODISEO,Sí,6,Modificación,631
CAT-068,67,seals_count,Cantidad de Sellos,SISTEMA_INTEGRAL,No,2,Accesorio_SI,640
CAT-069,68,central_seal_material,Material Sello Central,SISTEMA_INTEGRAL,No,3,Accesorio_SI,649
CAT-070,69,seal_type_gusset,Tipo de Sello Fuelle,SISTEMA_INTEGRAL,No,2,Accesorio_SI,658
CAT-071,70,micron_pe,Micraje Polietileno,ODISEO,Sí,0,Vacío,667
CAT-072,71,material_packaging,Embalaje de Material,ODISEO,Sí,4,Embalaje,676
CAT-073,72,export_packaging,Embalaje Exportación,ODISEO,Sí,2,Embalaje,685
CAT-074,73,splices,Empalmes,SISTEMA_INTEGRAL,No,4,Accesorio_SI,694
CAT-075,74,accesoriosConsumibles,Accesorios Consumibles,ODISEO,Sí,3,Accesorio,703
CAT-076,75,accesoriosInternos,Accesorios Internos,ODISEO,Sí,8,Accesorio,712
CAT-077,76,aplicabilidadAccesoriosInternos,Aplicabilidad Accesorios Internos,ODISEO,Sí,2,Accesorio,721
CAT-078,77,precorteAbreFacilEnFuelle,Precorte Abre Fácil Fuelle,ODISEO,Sí,2,Accesorio,730
CAT-079,78,repeticionExactaDeDoypack,Repetición Exacta Doypack,ODISEO,Sí,2,Validación,739
CAT-080,79,toleranciaRepeticionExactaDoypack,Tolerancia Repetición Exacta,ODISEO,Sí,1,Validación,748
CAT-081,80,ladoCorteAngular,Lado Corte Angular,ODISEO,Sí,2,Accesorio,757
CAT-082,81,grupoMaterialPrima,Grupo Material Prima,ODISEO,Sí,9,Material,766
